2* Sheigon,L* Dragonite,2* Rhydon,3* Blastoise,1* Squirtle,3* Tentacruel,2* Pikachu,1* Bulbasaur,1* Bagon,4* Flareon,5* Nihilego,1* Tentacool,2* Bayleef,1* Chikorita,2* Croconaw,3* Rhyperior,2* Quilava,2* Ivysaur,2* Wartortle,2* Ivysaur,L* Snorlax,2* Charmeleon,3* Charizard,4* Genesect,3* Megamium,1* Eevee,2* Croconaw,3* Vaporean,1* Rhyhorn,4* Venusaur,1* Cyndaquil,2* Tentacruel,1* Cyndaquil,4* Manaphy,1* Charmander,2* Rhydon,3* Salamence,1* Bonsly,L* Snorlax,3* Sudowoodo,1* Rhyhorn,1* Squirtle,3* Flareon,5* Mewtwo X,2* Charmeleon,1* Totodile,2* Eevee,1* Charmander,2* Sudowoodo,1* Chikorita

2* Sheigon,1* Eevee,L* Snorlax,1* Rhyhorn,2* Croconaw,3* Eevee,4* Megamium,2* Tentacruel,1* Totodile,1* Charmander,3* Vaporean,2* Pikachu,4* Cressella,L* Dragonite,2* Tentacruel,2* Bayleef,3* Charizard,1* Bulbasaur,1* Cyndaquil,3* Typhlosion,2* Sudowoodo,1* Totodile,3* Sudowoodo,2* Croconaw,4* Salamence,3* Venusaur,1* Tentacool,L* Snorlax,1* Tentacool,1* Bonsly,3* Pikachu,1* Chikorita,2* Pikachu,1* Bagon,1* Eevee,2* Wartortle,1* Squirtle,4* Charizard X,2* Sudowoodo,5* Moltres,4* Heatran,2* Eevee,1* Bulbasaur,2* Ivysaur,2* Rhydon,4* Pikachu,2* Quilava,3* Rhyperior,2* Charmeleon,3* Megamium

2* Croconaw,2* Rhydon,2* Wartortle,4* Charizard Y,3* Venusaur,1* Eevee,1* Bulbasaur,3* Flareon,2* Bayleef,2* Sudowoodo,4* Scizor,1* Cyndaquil,2* Quilava,3* Charizard,2* Quilava,L* Snorlax,2* Rhydon,3* Scyther,1* Bonsly,3* Tentacruel,3* Megamium,5* Zapdos,1* Cyndaquil,3* Pikachu,2* Sheigon,L* Snorlax,4* Maloetta (O),1* Chikorita,1* Bagon,1* Charmander,2* Wartortle,4* Typhlosion,1* Charmander,1* Bonsly,3* Feraligatr,2* Ivysaur,2* Charmeleon,1* Bagon,2* Tentacruel,2* Sheigon,L* Dragonite,1* Totodile,1* Tentacool,3* Eevee,3* Blastoise,2* Pikachu,2* Eevee,1* Squirtle,4* Jolteon,1* Rhyhorn

3* Tentacruel,1* Bagon,1* Bonsly,3* Venusaur,2* Ivysaur,3* Salamence,1* Charmander,4* Feraligatr,2* Eevee,2* Tentacruel,1* Bagon,4* Vaporean,1* Totodile,2* Sheigon,1* Tentacool,3* Rhyperior,2* Charmeleon,3* Scyther,2* Bayleef,4* Rhyperior,2* Eevee,1* Squirtle,2* Wartortle,L* Dragonite,1* Chikorita,2* Rhydon,3* Typhlosion,3* Blastoise,L* Snorlax,1* Tentacool,2* Pikachu,2* Sudowoodo,3* Feraligatr,1* Chikorita,1* Squirtle,2* Quilava,4* Maloetta (G),L* Snorlax,3* Sudowoodo,2* Tentacruel,2* Croconaw,5* Articuno,1* Bulbasaur,2* Bayleef,1* Rhyhorn,3* Jolteon,4* Blastoise,3* Pikachu,1* Cyndaquil,1* Eevee

2* Sudowoodo,1* Bonsly,3* Flareon,L* Snorlax,1* Rhyhorn,4* Cressella,3* Megamium,2* Charmeleon,3* Jolteon,2* Quilava,2* Pikachu,3* Typhlosion,1* Eevee,1* Rhyhorn,4* Manaphy,1* Bulbasaur,3* Eevee,3* Vaporean,2* Eevee,2* Rhydon,3* Scyther,1* Squirtle,2* Croconaw,4* Flareon,1* Totodile,3* Charizard,L* Dragonite,1* Chikorita,2* Tentacruel,1* Totodile,5* Mewtwo Y,2* Tentacruel,3* Salamence,2* Wartortle,1* Charmander,2* Pikachu,2* Ivysaur,4* Charizard Y,2* Charmeleon,1* Bagon,1* Bonsly,2* Ivysaur,1* Bulbasaur,5* Xurkitree,2* Sudowoodo,1* Cyndaquil,2* Sheigon,L* Snorlax,2* Bayleef,1* Tentacool

4* Megamium,2* Charmeleon,3* Salamence,2* Sudowoodo,1* Chikorita,2* Croconaw,2* Tentacruel,3* Vaporean,2* Eevee,4* Maloetta (O),2* Eevee,2* Pikachu,1* Totodile,5* Mew,L* Dragonite,1* Eevee,4* Rhyperior,2* Sheigon,1* Bagon,1* Charmander,3* Jolteon,2* Rhydon,2* Bayleef,1* Eevee,3* Tentacruel,1* Bagon,4* Venusaur,2* Wartortle,3* Typhlosion,1* Cyndaquil,3* Rhyperior,1* Squirtle,2* Charmeleon,3* Pikachu,L* Snorlax,2* Quilava,1* Charmander,1* Bulbasaur,2* Croconaw,4* Vaporean,2* Sheigon,3* Flareon,L* Snorlax,1* Bonsly,3* Venusaur,1* Rhyhorn,3* Eevee,2* Ivysaur,1* Tentacool,1* Cyndaquil

1* Squirtle,1* Cyndaquil,3* Venusaur,1* Bonsly,2* Tentacruel,1* Bagon,4* Pikachu,2* Charmeleon,3* Blastoise,5* Reshiram,2* Ivysaur,1* Charmander,3* Tentacruel,2* Bayleef,1* Tentacool,3* Scyther,3* Feraligatr,1* Tentacool,L* Snorlax,2* Eevee,1* Chikorita,2* Pikachu,3* Megamium,2* Pikachu,4* Scizor,1* Rhyhorn,3* Jolteon,4* Maloetta (G),2* Wartortle,1* Bonsly,2* Croconaw,3* Eevee,2* Rhydon,1* Bulbasaur,1* Totodile,2* Quilava,3* Pikachu,4* Blastoise,L* Dragonite,2* Sheigon,1* Chikorita,2* Sudowoodo,2* Sudowoodo,4* Heatran,L* Snorlax,4* Feraligatr,2* Quilava,1* Squirtle,3* Flareon,1* Eevee

1* Cyndaquil,3* Vaporean,2* Eevee,3* Salamence,3* Charizard,1* Totodile,L* Snorlax,1* Charmander,4* Jolteon,3* Feraligatr,1* Eevee,2* Charmeleon,1* Eevee,4* Charizard X,1* Bulbasaur,2* Wartortle,3* Blastoise,2* Eevee,1* Totodile,2* Bayleef,1* Chikorita,3* Typhlosion,1* Bagon,2* Wartortle,3* Scyther,4* Genesect,2* Ivysaur,1* Tentacool,L* Dragonite,2* Pikachu,4* Typhlosion,2* Sheigon,1* Bulbasaur,2* Croconaw,1* Rhyhorn,2* Rhydon,3* Rhyperior,5* Zekrom,2* Tentacruel,3* Jolteon,1* Bonsly,2* Sudowoodo,4* Salamence,2* Rhydon,1* Rhyhorn,2* Bayleef,1* Squirtle,2* Quilava,L* Snorlax,3* Sudowoodo
